gyarto	kijelzo	memoria	merevlemez
ASUS	15,6	4096	320
ASUS	15,6	3072	250
ASUS	17,3	4096	320
ASUS	17,3	4096	250
ASUS	15,6	4096	500
LENOVO	13,3	2048	250
MSI	13,4	2048	320
LENOVO	12	1024	160
LENOVO	12	1024	160
ASUS	15,6	2048	250
ASUS	15,6	3072	250
